,control1_rna,control2_rna,control3_rna,het1_rna,het2_rna,het3_rna,homo1_rna,homo2_rna,homo3_rna
0610005C13Rik,0,0,0,0,0,0,0,0,0
0610006L08Rik,0,0,0,0,0,0,0,0,0
0610009B22Rik,213,211,207,345,354,349,261,387,298
0610009E02Rik,0,0,0,0,0,0,0,0,0
0610009L18Rik,0,0,0,0,0,0,0,0,0
0610010B08Rik,0,0,1,0,0,0,0,1,1
0610010F05Rik,1807,2050,1525,2104,2237,1958,1838,2762,1756
0610010K14Rik,1100,1106,1108,810,774,820,1039,1234,966
0610012G03Rik,0,0,0,0,0,0,0,0,0
0610025J13Rik,0,0,0,0,0,0,0,0,0
0610030E20Rik,968,942,780,1020,866,834,824,997,698
0610031O16Rik,0,0,0,0,0,0,0,0,0
0610037L13Rik,674,692,598,773,756,682,698,925,714
0610038B21Rik,0,0,0,0,0,0,0,0,0
0610039H22Rik,0,0,0,0,0,0,0,0,0
0610039K10Rik,0,0,0,0,0,0,0,0,0
0610040B10Rik,0,0,0,0,0,0,0,0,0
0610040F04Rik,0,0,0,0,0,0,0,0,0
0610040J01Rik,0,1,0,0,0,1,1,0,0
0610043K17Rik,0,0,0,0,0,0,0,0,0
1010001N08Rik,0,0,0,0,0,0,0,0,0
1100001I12Rik,0,0,0,0,0,0,0,0,0
1110002J07Rik,0,0,0,0,0,0,0,0,0
1110002L01Rik,0,0,0,0,0,0,0,0,0
1110002O04Rik,0,0,0,0,0,0,0,0,0
1110004F10Rik,4115,4028,3772,3654,3351,3738,3118,3872,3444
1110006O24Rik,0,0,0,0,0,0,0,0,0
1110008L16Rik,391,425,335,338,323,417,267,371,366
1110008P14Rik,614,629,569,638,535,702,834,995,799
1110012L19Rik,180,213,192,412,361,346,251,345,229
1110015O18Rik,0,0,0,0,0,0,0,0,0
1110017D15Rik,1,2,0,9,4,1,2,3,1
1110018N20Rik,0,0,0,0,0,0,0,0,0
1110019D14Rik,0,0,0,0,0,0,0,0,0
1110020A21Rik,0,0,0,0,0,0,0,0,0
1110025L11Rik,0,0,0,0,0,0,0,0,0
1110028F11Rik,0,0,0,0,0,0,0,0,0
1110028F18Rik,0,0,0,0,0,0,0,0,0
1110032A03Rik,99,102,71,216,162,175,132,205,135
1110032F04Rik,0,1,1,0,0,2,3,8,3
1110034G24Rik,17,19,12,22,18,30,14,13,18
1110036E04Rik,0,0,0,0,0,0,0,0,0
1110038B12Rik,0,0,0,0,0,0,0,0,0
1110038F14Rik,946,1040,949,783,669,748,1178,1431,1159
1110046J04Rik,0,0,0,0,0,0,0,0,0
1110051M20Rik,553,580,536,736,676,704,606,911,684
1110057P08Rik,0,0,0,0,0,0,0,0,0
1110058D11Rik,0,0,0,0,0,0,0,0,0
1110059E24Rik,1017,1063,992,761,727,740,921,1194,971
1110059G10Rik,356,350,288,378,405,363,441,567,463
1110065P20Rik,577,582,524,836,760,815,652,814,636
1190002N15Rik,2167,2280,1706,2696,2705,2785,528,745,599
1190003K10Rik,0,0,0,0,0,0,0,0,0
1190005I06Rik,91,97,79,155,118,112,31,41,41
1190007I07Rik,80,83,76,51,39,61,66,78,66
1190028D05Rik,0,0,0,0,0,0,0,0,0
1300002E11Rik,0,0,0,0,0,0,0,0,0
1300017J02Rik,0,1,1,0,0,2,5,3,3
1500002F19Rik,0,0,0,0,0,0,0,0,0
1500004A13Rik,0,0,0,0,0,0,0,0,0
1500009C09Rik,0,0,0,0,0,0,0,0,0
1500009L16Rik,19,14,17,90,84,60,41,61,28
1500011B03Rik,0,0,0,0,0,0,0,0,0
1500012K07Rik,0,0,0,0,0,0,0,0,0
1500015A07Rik,0,0,0,0,0,0,0,0,0
1500015L24Rik,0,0,0,0,0,0,0,0,0
1500015O10Rik,0,0,1,5,1,4,0,0,0
1500026H17Rik,0,0,0,0,0,0,0,0,0
1500035N22Rik,0,0,0,0,0,0,0,0,0
1520401A03Rik,1,1,0,4,4,4,1,0,2
1600002D24Rik,0,0,0,0,0,0,0,0,0
1600002H07Rik,312,305,252,228,196,219,226,314,233
1600002K03Rik,210,214,217,93,70,79,168,209,157
1600010M07Rik,0,0,0,0,0,0,0,0,0
1600012H06Rik,1381,1409,1186,1317,1329,1309,928,1141,907
1600014C10Rik,216,212,228,476,374,464,131,167,139
1600014C23Rik,1,1,0,2,3,2,1,0,1
1600015I10Rik,0,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0
1600020E01Rik,0,0,0,0,0,0,0,0,0
1600023N17Rik,0,0,0,0,0,0,0,0,0
1600025M17Rik,0,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0,0
1600029I14Rik,0,0,0,0,0,0,0,0,0
1600029O15Rik,0,0,0,0,0,0,0,0,0
1700001C02Rik,0,0,0,0,0,0,0,0,0
1700001C19Rik,12,9,5,0,1,1,2,2,0
1700001D01Rik,0,0,0,0,0,0,0,0,0
1700001F09Rik,1,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0,0
1700001G11Rik,0,0,0,0,0,0,0,0,0
1700001G17Rik,0,0,0,0,0,0,0,0,0
1700001J03Rik,0,0,0,0,0,0,0,0,0
1700001J11Rik,0,0,0,0,0,0,0,0,0
1700001K19Rik,0,0,0,0,0,0,0,0,0
1700001K23Rik,0,0,0,0,0,0,0,0,0
1700001L05Rik,0,0,0,0,0,0,0,0,0
1700001L19Rik,0,0,0,1,2,3,0,0,0
1700001O22Rik,28,22,19,10,12,7,19,23,19
1700001P01Rik,6,12,12,2,6,6,9,7,10
1700003C15Rik,0,0,0,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,0,0,0
1700003E16Rik,10,20,24,29,35,22,18,15,23
1700003E24Rik,0,0,0,0,0,0,0,0,0
1700003F12Rik,13,7,7,16,6,11,95,108,75
1700003G13Rik,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0
1700003M07Rik,0,0,0,0,0,0,0,0,0
1700003P14Rik,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0
1700006H20Rik,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0,0
1700007E05Rik,0,0,0,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0,0
1700007G11Rik,3,2,0,1,0,0,1,0,1
1700007J10Rik,0,0,0,0,0,0,0,0,0
1700007K09Rik,1,0,0,1,1,0,0,1,0
1700007K13Rik,9,9,12,15,12,8,11,33,39
1700007L15Rik,0,0,0,0,0,0,0,0,0
1700007P06Rik,0,0,0,0,0,0,0,0,0
1700008C04Rik,0,0,0,0,0,0,0,0,0
1700008J07Rik,0,0,0,0,0,0,0,0,0
1700008K24Rik,0,0,0,0,0,0,0,0,0
1700008O03Rik,2,3,2,3,2,0,1,1,3
1700008P02Rik,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0
1700009N14Rik,176,191,181,159,152,201,181,236,229
1700010B08Rik,0,1,0,0,1,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0,0
1700010I14Rik,0,2,1,17,20,27,0,0,1
1700010J16Rik,0,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0
1700010L04Rik,0,0,0,0,0,0,0,0,0
1700010N08Rik,0,0,0,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0,0,0
1700011C11Rik,0,0,0,0,0,0,0,0,0
1700011E24Rik,0,2,2,1,3,0,0,0,0
1700011H14Rik,0,0,0,0,0,0,0,0,0
1700011I03Rik,0,0,0,0,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,1,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,2,3,0
1700012B09Rik,143,119,195,1,0,3,12,6,21
1700012C14Rik,0,0,0,0,0,0,0,0,0
1700012D01Rik,0,0,0,0,0,0,0,0,0
1700012D14Rik,0,0,0,0,0,0,0,0,0
1700012D16Rik,0,0,0,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0,0
1700012J15Rik,0,0,0,0,0,0,0,0,0
1700012P22Rik,0,0,0,0,0,0,0,0,0
1700013F07Rik,1,2,3,1,1,1,1,2,4
1700013G24Rik,0,0,0,0,0,0,0,0,1
1700013H16Rik,0,0,0,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0,0,0
1700015C15Rik,0,0,0,0,0,0,0,0,0
1700015F17Rik,4,3,3,3,2,4,0,3,0
1700015G11Rik,0,1,0,0,0,0,0,0,1
1700016A09Rik,0,0,0,0,0,0,0,0,0
